time,frequency,confidence
4.12,150.0164646005519,0.9106279
4.13,149.9511162383119,0.9017727
4.14,149.90616308637362,0.91514206
4.15,150.13171632452392,0.9091823
4.16,150.70900093471042,0.92595404
4.17,152.1150245388772,0.9167631
4.18,152.74859032150496,0.932516
4.19,153.20879586776942,0.91240305
4.2,152.79044586191097,0.91123503
4.21,151.78171196702647,0.87939066
4.22,150.6971216929245,0.89460045
4.23,149.49325082495565,0.91133374
4.24,148.2942024708028,0.9144596
4.25,147.3783070385497,0.94335055
4.26,146.9974377371425,0.9471934
4.27,146.8025020118315,0.93687975
4.28,147.01696807770222,0.9402696
4.29,147.02937374287342,0.93341887
4.3,147.86034412268478,0.9151548
4.31,149.3073642435788,0.8977172
4.32,150.48634897513017,0.88578755
4.33,150.95493018471726,0.8844409
4.34,151.3105321085011,0.87342244
4.35,152.06413425364101,0.8268102
4.36,153.44087432621694,0.797536
4.37,154.7161445103532,0.8395283
4.38,154.80467666022543,0.85220915
4.39,153.8061567449353,0.81681263
4.4,152.03925834513637,0.7769373
4.41,148.7192509021597,0.75234556
4.42,146.19334644385586,0.80604625
